Product name,Description,Category,MRP,Selling price,Discount,Brand name,Image url,Laptop specification
"Dell 14 Laptop, 12th Gen Intel Core i3-1215U Processor/8GB/512GB SSD/Intel UHD Graphics/14.0""(35.56cm) FHD/Windows 11 + MSO'21/15 Month McAfee/Spill-Resistant Keyboard/Grey/Thin & Light 1.48kg","About this item    Processor: Intel Core i3-1215U 12th Generation (up to 4.40 GHz, 10MB, 6 Cores)    RAM: 8 GB, 1 x 8 GB, DDR4, 2666 MHz, (2 DIMM Slots, Expandable up to 16GB) // Storage: 512GB SSD    Software: Pre-Loaded Windows 11 Home with Lifetime Validity | MS Office Home and Student 2021 with lifetime validity| McAfee Multi-Device Security 15-month subscription    Display: 14.0"" FHD WVA AG Narrow Border 250 nits // Graphics & Keyboard: Integrated Onboard Graphics & Standard Keyboard    Ports: 1 USB 3.2 Gen 1 Type-C port with DisplayPort 1.4, 1 USB 3.2 Gen 1 port, 1 USB 2.0 port, 1 Headset jack, 1 HDMI 1.4 port*,1 Flip-Down RJ-45 port 10/100/1000 Mbps, 1 SD 3.0 card slot    Features- TÜV Rheinland certified Dell ComfortView to reduce Harmful blue light: 15 Months McAfee antivirus subscription: Waves Maxx Audio tuned speakers and microphones optimize audio: Hardware-based TPM 2.0 security chip    Battery- 3-Cell Battery, 41WHr // Power Adaptor- 65 Watt AC Adapter    Dimensions H x W x D( in cm)- 1.86 to 2.30 X 32.3 X 22.0 // Weight- 1.48kgs    
›  See more product details",Computers & Accessories,"57,778","34,990.",39%,Dell,https://m.media-amazon.com/images/I/41KmRBop38L._SX300_SY300_QL70_ML2_.jpg,"Brand   Dell     Model Name   Vostro 3420     Screen Size   14 Inches     Colour   Dark Silver     Hard Disk Size   512 GB     CPU Model   Core i3 Family     RAM Memory Installed Size   8 GB     Operating System   Windows 11 Home     Special Feature   Fingerprint Reader, Backlit Keyboard     Graphics Card Description   Integrated"
"Dell 15 Laptop, Intel Core i3-1115G4 Processor/8GB DDR4/512GB SSD/Intel UHD Graphics/15.6"" (39.6cm) FHD 120Hz Refresh, 250 nits/Mobile Connect/Win 11+MSO'21/15 Month McAfee/Black/Thin & Light-1.66kg","About this item    Processor: Intel Core i3-1115G4 Processor (up to 4.10 GHz, 6MB Cache, 2 Cores)    RAM: 8 GB, 1 x 8 GB, DDR4, 3200 MHz // Storage: 512GB SSD    Software: Pre-Loaded Windows 11 Home with Lifetime Validity | MS Office Home and Student 2021 with lifetime validity| McAfee Multi Device Security 15-month subscription    Display: 15.6"" FHD WVA AG 120Hz 250 nits Narrow Border // Graphics: Intel UHD Graphics // Keyboard: Standard Keyboard    Ports: 2 USB 3.2 Gen 1 port, 1 USB 2.0 port, 1 headset (headphone and microphone combo) port, 1 HDMI 1.4 port, HDMI 1.4 (Maximum resolution supported over HDMI is 1920x1080 @60Hz. No 4K/2K output), 1 RJ45 Ethernet port (flip-down)    Battery: 3-Cell Battery, 41WHr // Power Adaptor: 65 Watt AC Adapter    Dimensions H x W x D( in cm): 1.69 to 2.24 X 35.8 X 23.5 // Weight- 1.66kgs    
›  See more product details",Computers & Accessories,"44,683","36,990.",17%,Dell,https://m.media-amazon.com/images/I/31aAbG0YK6L._SX300_SY300_QL70_ML2_.jpg,Brand   Dell     Model Name   Vostro 3520     Screen Size   15.6 Inches     Colour   Black     Hard Disk Size   512 GB     CPU Model   Core i3     RAM Memory Installed Size   8 GB     Operating System   Windows 11 Home     Special Feature   Anti Glare Screen     Graphics Card Description   Integrated
HP Pavilion Aero AMD Ryzen 7 7735U 13.3 inch(33.8cm) WUXGA IPS Micro-Edge Laptop(16GB RAM/1TB SSD/AMD Radeon Graphics/Win 11/MSO/Backlit Keyboard/B&O/FPR/Alexa/Rose Gold/970 Grams) 13-be2046AU,"About this item    Processor: AMD Ryzen 7 7735U (up to 4.75 GHz max boost clock(2i), 16 MB L3 cache, 8 cores, 16 threads)|Memory: 16 GB LPDDR5-6400 MHz RAM (onboard)|Storage: 1 TB PCIe NVMe M.2 SSD    Display & Graphics: 33.8 cm (13.3"") diagonal, WUXGA, IPS, micro-edge, anti-glare,Brightness: 400 nits, 170 ppi,Color Gamut: 100% sRGB,Screen Resolution: 1920 x 1200 |Graphics: AMD Radeon Graphics    Operating System & Preinstalled Software: Windows 11 Home 64 Plus Single Language|Microsoft Office Home & Student 2021    Ports:1 USB Type-C 10Gbps signaling rate (USB Power Delivery, DisplayPort 1.4, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 AC smart pin; 1 headphone/microphone combo    Other Features: HP Wide Vision 720p HD camera with temporal noise reduction and integrated dual array digital microphones|Networking: Realtek Wi-Fi 6 (2x2) and Bluetooth 5.3 wireless card(Supporting Gigabit data rate)|Keyboard & Pointing Device: Full-size, backlit,Pale Rose Gold keyboard, HP Imagepad with multi-touch gesture support|Battery: 3-cell, 41 Wh Li-ion,Support battery fast charge    
›  See more product details",Computers & Accessories,"91,616","79,990.",13%,HP,https://m.media-amazon.com/images/I/41e2GVsjoBL._SX300_SY300_QL70_ML2_.jpg,"Brand   HP     Model Name   13-be2046AU     Screen Size   33.8 Centimetres     Colour   Natural Silver     Hard Disk Size   1 TB     CPU Model   Ryzen 7     RAM Memory Installed Size   16 GB     Operating System   Windows 11 Home     Special Feature   Fingerprint Reader, Temporal noise reduction, Backlit Keyboard, Micro-Edge Display, Anti-Glare     Graphics Card Description   Integrated"
"HP Victus Gaming Laptop, AMD Ryzen 7 7840HS AI Powered, 6GB RTX 3050 GPU, 16.1-inch (40.9 cm), 95W TGP, FHD, IPS, 144Hz, 300 nits, 16GB DDR5, 1TB SSD, RGB Backlit KB (MSO, Blue, 2.29 kg), s0094AX","About this item    Crafted for Gaming: Built with the powerful AMD Ryzen 7 7840HS , 16 GB DDR5-5600 MHz RAM (2 x 8 GB) and 1 TB PCIe Gen4 NVMe TLC M.2 SSD, The HP Victus Gaming Laptop comes with a Turbo Boost Technology, offering a seamless gaming experience that’s compatible with all your favourite games.    Next-Gen Graphics – Experience incredible visuals to elevate all of your gameplay with NVIDIA GeForce RTX 3050 Laptop GPU (6 GB GDDR6 dedicated)    Immersive Display & Audio – Enjoy vibrant, crystal-clear images with 16.1” diagonal FHD, micro-edge display with anti-glare technology and 1920 X 1080 screen resolution clubbed with dual speakers by B&O.    Windows 11 Home – From a rejuvenated Start menu to new ways to connect, the Windows 11 OS is the place to think, express, and create in a natural way. Create better and explore more with pre-installed Microsoft Office Home & Student 2021.    Lightning Fast Ports: 1 USB Type-A 5Gbps signaling rate (HP Sleep and Charge); 1 USB Type-C 5Gbps signaling rate (USB Power Delivery, DisplayPort 1.4a, HP Sleep and Charge); 2 USB Type-A 5Gbps signaling rate; 1 HDMI 2.1; 1 RJ-45; 1 AC smart pin; 1 headphone/microphone combo    
›  See more product details",Computers & Accessories,"99,527","98,436.",1%,HP,https://m.media-amazon.com/images/I/41ioAevcvIL._SX300_SY300_QL70_ML2_.jpg,"Brand   HP     Model Name   16-s0094AX     Screen Size   16 Inches     Colour   Performance Blue     Hard Disk Size   1 TB     CPU Model   Ryzen 7     RAM Memory Installed Size   16 GB     Operating System   Windows 11 Home     Special Feature   FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare     Graphics Card Description   Integrated"
"HP Laptop 15s, Intel Celeron, 15.6-inch (39.6 cm), HD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Thin & Light, Dual Speakers, BrightView Display (Win 11, MSO 2021, Silver, 1.65 kg), fq3071TU","About this item    【2-core Intel Celeron N4500】2 threads and 4MB L3 cache deliver fast processing speeds. The Intel UHD graphics help you dive into crisp, stunning visuals.    【Upgraded memory and storage】8GB DDR4 RAM and 512GB PCIe NVMe M.2 SSD allow you to undertake improved multitasking with high-bandwidth memory and ample storage. Now, browse or work as you please.    【Micro-edge display】The 15.6-inch, HD, 250-nit, and micro-edge display immerses you in your projects, helping you explore intricate details on a large screen.    【Effortless connectivity】Wi-Fi 5 (2x2) and Bluetooth 5.0 make you unstoppable with a dependable connection. Stay plugged in with 1 x USB Type-C, 2 x USB Type-A, and 1 x HDMI 1.4b ports.    【Long battery life】With HP Fast Charge, power up your device up to 50% in 45 mins. Once done, get ready to go where work takes you backed up with a long-lasting 41Wh battery life.    【Business conferencing】HP True Vision 720p HD camera with integrated dual array mics and dual speakers enables you to put your point across with utmost clarity in high resolution.    【Why HP】Experience the unparalleled advantages of choosing HP, the most preferred and trusted PC brand by Indians, which empowers you with cutting-edge technology and steadfast dependability.    
   【Pre-loaded Win 11 and MS Office】Comes with Win 11 and MS Office 2021. To activate your MS Office, sign in or sign up, and follow the Office Activation Wizard. 【Sustainably made】Make an environmentally conscious choice with a thoughtfully designed laptop that contains recycled plastics and is EPEAT Silver registered and ENERGY STAR certified. 【Reliable design】A sleek yet sturdy laptop that delivers rock-solid performance all day long with power-packed features, optimized heat management, and 1-year on-site standard warranty.   Show More",Computers & Accessories,"33,934.38","28,990.",15%,HP,https://m.media-amazon.com/images/I/411Wy5G8jKL._SX300_SY300_QL70_ML2_.jpg,"Brand   HP     Model Name   15s-fq3071TU     Screen Size   39.6 Centimetres     Colour   Silver     Hard Disk Size   512 GB     CPU Model   Celeron     RAM Memory Installed Size   8 GB     Operating System   Windows 11 Home     Special Feature   Brightview, HD, Micro-Edge Display, Numeric Keypad     Graphics Card Description   Integrated"
"Dell G15 5520 Gaming Laptop, Intel i5-12500H/16GB DDR5/1TB SSD/15.6"" (39.62cm) FHD WVA AG 120Hz 250 nits/NVIDIA RTX 3050, 4 GB GDDR6/Win 11 + MSO'21/15 Months McAfee/Backlit KB/Dark Shadow Grey/2.81kg","About this item    Processor : 12th Gen Intel Core i5-12500H | Up to 4.50 Ghz | 12 cores | 16 Threads | 18 MB Cache | 45 W TDP // Memory : 16 GB, 2 x 8 GB, DDR5, 4800 MHz // Storage :  1TB SSD    Display: 15.6"" FHD 1920 x 1080 WVA, Non-Touch, Anti-Glare| 120 Hz ( 9ms ) | 250 nits | 45% NTSC    Graphics: NVIDIA GeForce RTX 3050 4 GB GDDR6 with max 90 W TGP    Cooling: Alienware-inspired thermal design features optimal cooling thanks to dual air-intake, copper pipes , two fans with ultra-thin blades and four strategically-placed vents. As a result, you can expect your system to stay cool when the action heats up enabling  100/100 CPU GPU concurrency and TDP up to 125 W (45W + 80 W)    Keyboard and Battery: US English Orange Qwerty Backlit Keyboard with Numeric Keypad and G-Key |3 Cell, 56 Wh, integrated    Software: Pre-Loaded Windows 11 Home with Lifetime Validity | MS Office Home and Student 2021 with lifetime validity| McAfee Multi Device Security 15-month subscription    Warranty: 1 Year Onsite Hardware Service    
   Ports: SuperSpeed USB 3.2 Gen 1, SuperSpeed USB 3.2 Gen 1, USB Type-C port with DisplayPort with alt mode, SuperSpeed USB 3.2 Gen 1, HDMI 2.1, Power in, RJ45, Headphones/mic Audio & Camera |Connectivity: Dolby Audio + HD RGB camera | Intel Wi-Fi 6 AX201, 2x2, 802.11ax, Bluetooth wireless card Power Adaptor: 180W AC Adapter   Show More",Computers & Accessories,"1,05,383","77,490.",26%,Dell,https://m.media-amazon.com/images/I/31uYfs9jPML._SX300_SY300_QL70_ML2_.jpg,Brand   Dell     Model Name   Dell Gaming G15     Screen Size   15.6 Inches     Colour   grey     Hard Disk Size   1 TB     CPU Model   Core i5     RAM Memory Installed Size   16 GB     Operating System   Windows 11 Home     Special Feature   Backlit Keyboard     Graphics Card Description   Dedicated
"Lenovo Ideapad Slim 1 AMD Ryzen 5 5500U 15.6"" (39.62cm) FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/1Yr Warranty + ADP/Cloud Grey/1.6Kg), 82R400BRIN","About this item    Lenovo Ideapad 3 AMD Ryzen 5 5500U 15.6"" FHD Thin & Light Laptop (8GB/512GB SSD/Windows 11/Office 2021/Backlit Keyboard/2Yr Warranty/Arctic Grey/1.65Kg), 82KU017KIN    
›  See more product details",Computers & Accessories,"68,990","35,990.",48%,Lenovo,https://m.media-amazon.com/images/I/410byuk3a-L._SY300_SX300_QL70_ML2_.jpg,"Brand   Lenovo     Model Name   IdeaPad     Screen Size   15.6 Inches     Colour   Arctic Grey     Hard Disk Size   512 GB     CPU Model   Ryzen 5     RAM Memory Installed Size   8 GB     Operating System   Windows 11 Home     Special Feature   HD Audio, Backlit Keyboard     Graphics Card Description   Integrated"
"Lenovo IdeaPad Gaming 3 Intel Core i5-11320H 15.6"" (39.62cm) FHD IPS 60Hz Gaming Laptop (8GB/512GB SSD/Windows 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Shadow Black/2.25Kg), 82K101PCIN","About this item    Processor: Intel Core i5-11320H | Speed: 3.2 GHz (Base) - 4.5 GHz (Max) | 4 Cores | 8 Threads | 8MB Cache    Display: 15.6 Inch FHD (1920x1080) | IPS Technology | Brightness: 250Nits |60Hz Refresh Rate| Anti-glare | 45pct NTSC || Memory: 8GB RAM DDR4-3200 | Storage: 512GB SSD    Graphics: NVIDIA GeForce RTX 2050 4GB GDDR6 Dedicated Graphics || Cooling: 100pct.imporved ventilation rate | 21pct. larger thermal Area | 35pct. higher TDP    Mil. Grade : MIL-STD-810G Qualified Design| Qualified for various Mil. Specification Tests like Low & High Temp (-25 to 63°C for 4 hrs)| Temp Shock (-25 to 63°C one way temp Shock)| Shock (122cm+ Drop Test)| Vibration (4-32Hz over 2 hrs)    OS and Pre-Installed Software: Pre-Loaded Windows 11 Home with Lifetime Validity | Xbox GamePass Ultimate 3-month subscription    Audio: 2x 2W HD Stereo Speakers | Nahimic Audio with Surround Sound, Sound Tracker, Night Mode, Sound Sharing & Content Profiles || Camera: HD 720p with E-camera Shutter :Physical kill switch for 100pct. privacy protection | Integrated Dual Array Mic    Keyboard: Full-size White Backlit legendary TrueStrike Keyboard with 100pct. Anti-Ghosting, Anti-Abrasion & Soft-Landing switches | 1.5 mm Key Travel | Large Arrow Keys | 1 piece TrackPad    Battery Life: 45Wh upto 4.5 Hours | Rapid Charge (up to 50pct. in 30 min) || Connectivity : Wifi 6 11ax (2x2) | Bluetooth 5.1 || Ports: 2x USB-A 3.2 Gen 1 | 1x USB-C 3.2 Gen 1 (Data transfer) | 1x 3.5mm Jack | 1X HDMI 2.0 | 1X Ethernet (RJ-45)    
›  See more product details",Computers & Accessories,"71,290","50,190.",30%,Lenovo,https://m.media-amazon.com/images/I/41Dv6D00jML._SY300_SX300_QL70_ML2_.jpg,"Brand   Lenovo     Model Name   IdeaPad Gaming 3 15IHU6     Screen Size   15.6 Inches     Colour   Shadow Black     Hard Disk Size   512 GB     CPU Model   Core i5-11320H     RAM Memory Installed Size   8 GB     Operating System   Windows 11 Home     Special Feature   Backlit Keyboard, Anti Glare Coating     Graphics Card Description   Dedicated"
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 5500H 15.6"" (39.62cm) FHD IPS 300nits 144Hz Gaming Laptop (8GB/512GB SSD/Windows 11/NVIDIA RTX 2050 4GB/Alexa/3 Month Game Pass/Onyx Grey/2.32Kg), 82K20289IN","About this item    Processor: AMD Ryzen 5 5500H | Speed: 3.6 GHz (Base) - 4.2 GHz (Max) | 6 Cores | 12 Threads | 16MB Cache    Display: 15.6"" FHD (1920x1080) | IPS Technology | Brightness: 300Nits |144Hz Refresh Rate| Anti-glare | 45% NTSC || Memory: 8GB RAM DDR4-3200 | Storage: 512GB SSD    Graphics: NVIDIA GeForce RTX 2050 4GB GDDR6 Dedicated Graphics || Cooling: 100%imporved ventilation rate | 21% larger thermal Area | 35% higher TDP    Military Grade : MIL-STD-810G Qualified Design| Qualified for various Military Specification Tests like Low & High Temp (-25 to 63°C for 4 hrs)| Temp Shock (-25 to 63°C one way temp Shock)| Shock (122cm+ Drop Test)| Vibration (4-32Hz over 2 hrs)    OS and Pre-Installed Software: Pre-Loaded Windows 11 Home with Lifetime Validity | Xbox GamePass Ultimate 3-month subscription    Audio: 2x 2W HD Stereo Speakers | Nahimic Audio with Surround Sound, Sound Tracker, Night Mode, Sound Sharing & Content Profiles || Camera: HD 720p with E-camera Shutter :Physical kill switch for 100% privacy protection | Integrated Dual Array Mic    Keyboard: White Backlit legendary TrueStrike Keyboard with 100% Anti-Ghosting, Anti-Abrasion & Soft-Landing switches | 1.5 mm Key Travel | Large Arrow Keys | 1 piece TrackPad    
   Battery Life: 45Wh upto 4.5 Hours | Rapid Charge (up to 50% in 30 min) || Connectivity : Wifi 6 11ax (2x2) | Bluetooth 5.1 || Ports: 2x USB-A 3.2 Gen 1 | 1x USB-C 3.2 Gen 1 (Data transfer) | 1x 3.5mm Jack | 1X HDMI 2.0 | 1X Ethernet (RJ-45) Warranty: This genuine Lenovo laptop comes with 1 Year onsite manufacturer warranty *Active subscription needed;continues until cancelled-game catalog varies. Needs Windows11 & app to play PC games. Discounts exclude titles within 30 days of launch; based on Microsoft Store price.   Show More",Computers & Accessories,"77,990","47,990.",38%,Lenovo,https://m.media-amazon.com/images/I/51GDkO2QzRL._SX300_SY300_QL70_ML2_.jpg,"Brand   Lenovo     Model Name   IdeaPad Gaming 3 15ACH6     Screen Size   15.6 Inches     Colour   Shadow Black     Hard Disk Size   512 GB     CPU Model   Ryzen 5     RAM Memory Installed Size   8 GB     Operating System   Windows 11 Home     Special Feature   Backlit Keyboard, Anti Glare Coating     Graphics Card Description   Dedicated"
"Lenovo IdeaPad Slim 3 Intel Core i7 12th Gen 15.6 inch (39.62cm) FHD Thin & Light Laptop (16GB/512GB SSD/Windows 11/Office 2021/3months Game Pass/Arctic Grey/1.63Kg), 82RK011EIN","About this item    Processor: 12th Gen Intel Core i7-1255U | Speed: 10Cores (2P + 8E) , P-core 1.7 / 4.7GHz, E-core 1.2 | 12Threads | 12MB Cache    Display: 15.6"" FHD (1920x1080) | TN | 300nits Brigthness | Anti-glare    OS and Software: Windows 11 Home 64 | Office Home and Student 2021 | Xbox GamePass Ultimate 3-month subscription*    Graphics: Integrated Intel Iris Xe Graphics || Memory: 8GB Soldered DDR4-3200 + 8GB SO-DIMM DDR4-3200 || Storage: 512 GB SSD, Upgradable upto 1TB    Design: 1.99 cm Thin and 1.63 kg Light |Backlit Keyboard | 4 Side Narrow Bezel    Battery Life: 45Wh Battery | Upto 7 Hours | Rapid Charge (get 2 hours of runtime with a 15-minute charge)    Camera: HD 720p Camera | Fixed Focus | Privacy Shutter | Integrated Dual Array Microphone || Audio: 2x 1.5W HD Stereo Speakers | Dolby Audio    
   Ports: 1x USB-A 2.0 | 1x USB-A 3.2 Gen 1 | 1x USB-C 3.2 Gen 1 (Data transfer only) | 1x HDMI 1.4b | 1x 4-in-1 card reader (SD, SDHC, SDXC, MMC) | 1x Headphone/mic combo jack (3.5mm) Warranty: This genuine Lenovo laptop comes with 1 year onsite manufacturer warranty *Active subscription needed;continues until cancelled-game catalog varies. Needs Windows11 & app to play PC games; xbox website>pcgamesplan. Discounts exclude titles within 30 days of launch; based on Microsoft Store price. See xbox website>GamesPass   Show More",Computers & Accessories,"82,990","62,990.",24%,Lenovo,https://m.media-amazon.com/images/I/41tIqWrQzFL._SY300_SX300_QL70_ML2_.jpg,"Brand   Lenovo     Model Name   IdeaPad 3 15IAU7     Screen Size   15.6 Inches     Colour   Arctic Grey     Hard Disk Size   512 GB     CPU Model   Core i7     RAM Memory Installed Size   16 GB     Operating System   Windows 11 Home 64, English     Special Feature   Built-in Microphone     Graphics Card Description   Integrated"
"MSI Modern 14, Intel 12th Gen. i7-1255U, 36CM FHD 60Hz Laptop (16GB/512GB NVMe SSD/Windows 11 Home/Intel Iris Xe Graphics/Classic Black/1.4Kg), C12M-459IN","About this item    Processor: 12th Generation Intel Core i7-1255U Up To 4.7GHz    Operating System: Pre-loaded Windows 11 Home with lifetime validity |Preinstalled Software: MSI Center | In the box: Laptop, Power Adapter    Display: 36CM FHD (1920x1080), 60Hz 45%NTSC IPS-Level Panel    Memory & Storage: 16GB DDR4 Onboard Dual Channel RAM | Storage: 512GB NVMe PCIe Gen3x4 SSD    Intel Iris Xe Graphics | 802.11 ax Wi-Fi 6 + Bluetooth v5.2    
›  See more product details",Computers & Accessories,"78,990","54,990.",30%,MSI,https://m.media-amazon.com/images/I/41zCpYZBz2L._SX300_SY300_QL70_ML2_.jpg,Brand   MSI     Model Name   Modern 14 C12M-459IN     Screen Size   36 Centimetres     Colour   Classic Black     CPU Model   Core i7     RAM Memory Installed Size   16 GB     Operating System   Windows 11 Home     Special Feature   Thin     Graphics Card Description   Integrated     Graphics Coprocessor   Intel Iris Xe Graphics
"HP Laptop 15s, 12th Gen Intel Core i3-1215U, 15.6-inch (39.6 cm), FHD, 8GB DDR4, 512GB SSD, Intel UHD Graphics, Backlit KB, Thin & Light, Dual Speakers (Win 11, MSO 2021, Silver, 1.69 kg), fq5007TU","About this item    【6-core 12th Gen Intel Core i3-1215U】 8 threads and 10MB L3 cache deliver high performance and instant responsiveness. The Intel UHD graphics help you dive into crisp, stunning visuals.    【Upgraded memory and storage】 8GB DDR4 RAM and 512GB SSD help you undertake improved multitasking with ample of storage and higher-bandwidth memory. Now, create, browse, and work as you please.    【Micro-edge display】 The 15.6-inch, FHD, micro-edge, EPEAT registered, ENERGY STAR certified, 250-nit, and anti-glare display helps you see more of what’s on your screen in great quality.    【Effortless connectivity】 Wi-Fi 5 (2x2) and Bluetooth 5.0 help you be unstoppable with fast speeds. Experience reliable connectivity with 1 x USB Type-C, 2 x USB Type-A, and 1 x HDMI 1.4b ports.    【Long battery life】 Fast charging 0% to 50% in 45 mins, up to 7 hours and 45 mins of battery life and up to 10 hours and 45 mins of video playback help you stay productive without frequent charging.    【Business conferencing】 HP True Vision HD camera helps you put your point across with utmost clarity in high resolution with temporal noise-reduction and dual speakers.    【Pre-loaded Win 11 and MS Office】 Comes with Win 11 and MS Office 2021. To activate your account, sign in/up on Office, follow the Office Activation Wizard    
›  See more product details",Computers & Accessories,"56,261","38,990.",31%,HP,https://m.media-amazon.com/images/I/414nVwHlf9L._SX300_SY300_QL70_ML2_.jpg,"Brand   HP     Model Name   15s-fq5007TU     Screen Size   39.6 Centimetres     Colour   Natural Silver     Hard Disk Size   512 GB     CPU Model   Core i3     RAM Memory Installed Size   8 GB     Operating System   Windows 11 Home     Special Feature   FHD, Backlit Keyboard, Micro-Edge Display, Anti-Glare     Graphics Card Description   Integrated"
